agent_id,starting_date,year,total_work_hours,total_commission,agent_key
1,15/9/1998,1998.0,573.0,1966.0,1
1,15/9/1998,1999.0,1838.0,9128.0,2
1,15/9/1998,2000.0,1003.0,4139.0,3
1,15/9/1998,2001.0,1692.0,2516.0,4
1,15/9/1998,2002.0,1349.0,4633.0,5
1,15/9/1998,2003.0,1802.0,6048.0,6
1,15/9/1998,2004.0,370.0,640.0,7
1,15/9/1998,2005.0,161.0,425.0,8
1,15/9/1998,2006.0,662.0,1588.0,9
1,15/9/1998,2007.0,1242.0,5455.0,10
1,15/9/1998,2008.0,1437.0,7058.0,11
1,15/9/1998,2009.0,1088.0,2474.0,12
1,15/9/1998,2010.0,242.0,372.0,13
1,15/9/1998,2011.0,401.0,918.0,14
1,15/9/1998,2012.0,1429.0,2888.0,15
1,15/9/1998,2013.0,173.0,306.0,16
1,15/9/1998,2014.0,591.0,1136.0,17
1,15/9/1998,2015.0,1910.0,7889.0,18
1,15/9/1998,2016.0,378.0,791.0,19
1,15/9/1998,2017.0,983.0,2237.0,20
2,28/3/2006,2006.0,590.0,2687.0,21
2,28/3/2006,2007.0,384.0,1276.0,22
2,28/3/2006,2008.0,928.0,4447.0,23
2,28/3/2006,2009.0,448.0,2161.0,24
2,28/3/2006,2010.0,841.0,2213.0,25
2,28/3/2006,2011.0,471.0,1862.0,26
2,28/3/2006,2012.0,1225.0,4527.0,27
2,28/3/2006,2013.0,1346.0,2172.0,28
2,28/3/2006,2014.0,1710.0,6209.0,29
2,28/3/2006,2015.0,1764.0,2145.0,30
2,28/3/2006,2016.0,516.0,1351.0,31
2,28/3/2006,2017.0,1564.0,2959.0,32
3,8/7/2005,2005.0,576.0,2594.0,33
3,8/7/2005,2006.0,582.0,970.0,34
3,8/7/2005,2007.0,1593.0,3241.0,35
3,8/7/2005,2008.0,1346.0,5809.0,36
3,8/7/2005,2009.0,652.0,1300.0,37
3,8/7/2005,2010.0,200.0,472.0,38
3,8/7/2005,2011.0,118.0,303.0,39
3,8/7/2005,2012.0,1357.0,3323.0,40
3,8/7/2005,2013.0,1062.0,4938.0,41
3,8/7/2005,2014.0,1821.0,5932.0,42
3,8/7/2005,2015.0,289.0,420.0,43
3,8/7/2005,2016.0,272.0,1219.0,44
3,8/7/2005,2017.0,729.0,2106.0,45
4,15/9/2016,2016.0,358.0,885.0,46
4,15/9/2016,2017.0,820.0,1543.0,47
5,24/10/1992,1992.0,48.0,210.0,48
5,24/10/1992,1993.0,1248.0,3644.0,49
5,24/10/1992,1994.0,1012.0,3892.0,50
5,24/10/1992,1995.0,1312.0,6343.0,51
5,24/10/1992,1996.0,108.0,231.0,52
5,24/10/1992,1997.0,845.0,1361.0,53
5,24/10/1992,1998.0,749.0,947.0,54
5,24/10/1992,1999.0,1816.0,2938.0,55
5,24/10/1992,2000.0,982.0,4857.0,56
5,24/10/1992,2001.0,256.0,450.0,57
5,24/10/1992,2002.0,149.0,302.0,58
5,24/10/1992,2003.0,397.0,1857.0,59
5,24/10/1992,2004.0,580.0,1439.0,60
5,24/10/1992,2005.0,926.0,3862.0,61
5,24/10/1992,2006.0,1226.0,2824.0,62
5,24/10/1992,2007.0,1157.0,3320.0,63
5,24/10/1992,2008.0,1799.0,2811.0,64
5,24/10/1992,2009.0,1141.0,4365.0,65
5,24/10/1992,2010.0,200.0,469.0,66
5,24/10/1992,2011.0,945.0,4561.0,67
5,24/10/1992,2012.0,1190.0,2349.0,68
5,24/10/1992,2013.0,565.0,2272.0,69
5,24/10/1992,2014.0,698.0,885.0,70
5,24/10/1992,2015.0,1087.0,2842.0,71
5,24/10/1992,2016.0,1289.0,1521.0,72
5,24/10/1992,2017.0,1229.0,3783.0,73
6,20/5/1998,1998.0,1078.0,4474.0,74
6,20/5/1998,1999.0,787.0,2872.0,75
6,20/5/1998,2000.0,313.0,433.0,76
6,20/5/1998,2001.0,1382.0,3769.0,77
6,20/5/1998,2002.0,308.0,1094.0,78
6,20/5/1998,2003.0,1097.0,3665.0,79
6,20/5/1998,2004.0,1443.0,6663.0,80
6,20/5/1998,2005.0,1699.0,3504.0,81
6,20/5/1998,2006.0,1224.0,3103.0,82
6,20/5/1998,2007.0,682.0,3040.0,83
6,20/5/1998,2008.0,1133.0,1343.0,84
6,20/5/1998,2009.0,316.0,685.0,85
6,20/5/1998,2010.0,555.0,2441.0,86
6,20/5/1998,2011.0,490.0,1702.0,87
6,20/5/1998,2012.0,437.0,1631.0,88
6,20/5/1998,2013.0,1088.0,2058.0,89
6,20/5/1998,2014.0,1307.0,5510.0,90
6,20/5/1998,2015.0,307.0,1401.0,91
6,20/5/1998,2016.0,231.0,1131.0,92
6,20/5/1998,2017.0,1187.0,2794.0,93
7,11/1/1996,1996.0,1239.0,2624.0,94
7,11/1/1996,1997.0,743.0,1888.0,95
7,11/1/1996,1998.0,1888.0,4019.0,96
7,11/1/1996,1999.0,987.0,4632.0,97
7,11/1/1996,2000.0,503.0,887.0,98
7,11/1/1996,2001.0,634.0,3014.0,99
7,11/1/1996,2002.0,414.0,1525.0,100
7,11/1/1996,2003.0,458.0,639.0,101
7,11/1/1996,2004.0,1524.0,2470.0,102
7,11/1/1996,2005.0,1538.0,3698.0,103
7,11/1/1996,2006.0,763.0,3676.0,104
7,11/1/1996,2007.0,595.0,2001.0,105
7,11/1/1996,2008.0,118.0,466.0,106
7,11/1/1996,2009.0,487.0,769.0,107
7,11/1/1996,2010.0,1384.0,5691.0,108
7,11/1/1996,2011.0,706.0,3489.0,109
7,11/1/1996,2012.0,1568.0,7460.0,110
7,11/1/1996,2013.0,709.0,818.0,111
7,11/1/1996,2014.0,734.0,1946.0,112
7,11/1/1996,2015.0,399.0,664.0,113
7,11/1/1996,2016.0,1755.0,4297.0,114
7,11/1/1996,2017.0,119.0,281.0,115
8,9/8/2005,2005.0,351.0,1359.0,116
8,9/8/2005,2006.0,188.0,781.0,117
8,9/8/2005,2007.0,600.0,1664.0,118
8,9/8/2005,2008.0,1825.0,4454.0,119
8,9/8/2005,2009.0,591.0,1988.0,120
8,9/8/2005,2010.0,1648.0,7397.0,121
8,9/8/2005,2011.0,1751.0,5302.0,122
8,9/8/2005,2012.0,1280.0,1328.0,123
8,9/8/2005,2013.0,379.0,930.0,124
8,9/8/2005,2014.0,823.0,1316.0,125
8,9/8/2005,2015.0,1719.0,2834.0,126
8,9/8/2005,2016.0,632.0,1929.0,127
8,9/8/2005,2017.0,1100.0,2992.0,128
9,26/9/1990,1990.0,624.0,2991.0,129
9,26/9/1990,1991.0,242.0,427.0,130
9,26/9/1990,1992.0,134.0,654.0,131
9,26/9/1990,1993.0,335.0,631.0,132
9,26/9/1990,1994.0,1217.0,4967.0,133
9,26/9/1990,1995.0,602.0,798.0,134
9,26/9/1990,1996.0,908.0,1746.0,135
9,26/9/1990,1997.0,1144.0,3643.0,136
9,26/9/1990,1998.0,542.0,857.0,137
9,26/9/1990,1999.0,574.0,2289.0,138
9,26/9/1990,2000.0,1369.0,2436.0,139
9,26/9/1990,2001.0,700.0,1776.0,140
9,26/9/1990,2002.0,958.0,3669.0,141
9,26/9/1990,2003.0,1263.0,1355.0,142
9,26/9/1990,2004.0,1189.0,1893.0,143
9,26/9/1990,2005.0,172.0,562.0,144
9,26/9/1990,2006.0,1807.0,5374.0,145
9,26/9/1990,2007.0,917.0,3041.0,146
9,26/9/1990,2008.0,1501.0,6335.0,147
9,26/9/1990,2009.0,787.0,3851.0,148
9,26/9/1990,2010.0,579.0,2087.0,149
9,26/9/1990,2011.0,812.0,855.0,150
9,26/9/1990,2012.0,818.0,2833.0,151
9,26/9/1990,2013.0,734.0,2064.0,152
9,26/9/1990,2014.0,485.0,2137.0,153
9,26/9/1990,2015.0,253.0,1154.0,154
9,26/9/1990,2016.0,795.0,3628.0,155
9,26/9/1990,2017.0,549.0,997.0,156
