year,month,week_number,day,full_date,quarter,day_of_week,is_weekend,date_key
2015,7,27,1,2015-07-01,3,3,0,1
2015,7,27,2,2015-07-02,3,4,0,34
2015,7,27,3,2015-07-03,3,5,0,66
2015,7,27,4,2015-07-04,3,6,1,101
2015,7,28,5,2015-07-05,3,7,1,132
2015,7,28,6,2015-07-06,3,1,0,161
2015,7,28,7,2015-07-07,3,2,0,194
2015,7,28,8,2015-07-08,3,3,0,211
2015,7,28,9,2015-07-09,3,4,0,231
2015,7,28,10,2015-07-10,3,5,0,249
2015,7,28,11,2015-07-11,3,6,1,281
2015,7,29,12,2015-07-12,3,7,1,308
2015,7,29,13,2015-07-13,3,1,0,347
2015,7,29,14,2015-07-14,3,2,0,387
2015,7,29,15,2015-07-15,3,3,0,409
2015,7,29,16,2015-07-16,3,4,0,435
2015,7,29,17,2015-07-17,3,5,0,460
2015,7,29,18,2015-07-18,3,6,1,509
2015,7,30,19,2015-07-19,3,7,1,539
2015,7,30,20,2015-07-20,3,1,0,567
2015,7,30,21,2015-07-21,3,2,0,600
2015,7,30,22,2015-07-22,3,3,0,612
2015,7,30,23,2015-07-23,3,4,0,619
2015,7,30,24,2015-07-24,3,5,0,634
2015,7,30,25,2015-07-25,3,6,1,666
2015,7,31,26,2015-07-26,3,7,1,708
2015,7,31,27,2015-07-27,3,1,0,723
2015,7,31,28,2015-07-28,3,2,0,761
2015,7,31,29,2015-07-29,3,3,0,775
2015,7,31,30,2015-07-30,3,4,0,795
2015,7,31,31,2015-07-31,3,5,0,815
2015,8,31,1,2015-08-01,3,6,1,843
2015,8,32,2,2015-08-02,3,7,1,871
2015,8,32,3,2015-08-03,3,1,0,883
2015,8,32,4,2015-08-04,3,2,0,894
2015,8,32,5,2015-08-05,3,3,0,908
2015,8,32,6,2015-08-06,3,4,0,922
2015,8,32,7,2015-08-07,3,5,0,935
2015,8,32,8,2015-08-08,3,6,1,957
2015,8,33,9,2015-08-09,3,7,1,985
2015,8,33,10,2015-08-10,3,1,0,1008
2015,8,33,11,2015-08-11,3,2,0,1030
2015,8,33,12,2015-08-12,3,3,0,1060
2015,8,33,13,2015-08-13,3,4,0,1074
2015,8,33,14,2015-08-14,3,5,0,1094
2015,8,33,15,2015-08-15,3,6,1,1118
2015,8,34,16,2015-08-16,3,7,1,1151
2015,8,34,17,2015-08-17,3,1,0,1178
2015,8,34,18,2015-08-18,3,2,0,1197
2015,8,34,19,2015-08-19,3,3,0,1216
2015,8,34,20,2015-08-20,3,4,0,1231
2015,8,34,21,2015-08-21,3,5,0,1242
2015,8,34,22,2015-08-22,3,6,1,1267
2015,8,35,23,2015-08-23,3,7,1,1296
2015,8,35,24,2015-08-24,3,1,0,1319
2015,8,35,25,2015-08-25,3,2,0,1342
2015,8,35,26,2015-08-26,3,3,0,1355
2015,8,35,27,2015-08-27,3,4,0,1367
2015,8,35,28,2015-08-28,3,5,0,1388
2015,8,35,29,2015-08-29,3,6,1,1429
2015,8,36,30,2015-08-30,3,7,1,1446
2015,8,36,31,2015-08-31,3,1,0,1465
2015,9,36,1,2015-09-01,3,2,0,1486
2015,9,36,2,2015-09-02,3,3,0,1518
2015,9,36,3,2015-09-03,3,4,0,1529
2015,9,36,4,2015-09-04,3,5,0,1556
2015,9,36,5,2015-09-05,3,6,1,1582
2015,9,37,6,2015-09-06,3,7,1,1610
2015,9,37,7,2015-09-07,3,1,0,1645
2015,9,37,8,2015-09-08,3,2,0,1659
2015,9,37,9,2015-09-09,3,3,0,1674
2015,9,37,10,2015-09-10,3,4,0,1694
2015,9,37,11,2015-09-11,3,5,0,1723
2015,9,37,12,2015-09-12,3,6,1,1742
2015,9,38,13,2015-09-13,3,7,1,1757
2015,9,38,14,2015-09-14,3,1,0,1778
2015,9,38,15,2015-09-15,3,2,0,1793
2015,9,38,16,2015-09-16,3,3,0,1806
2015,9,38,17,2015-09-17,3,4,0,1834
2015,9,38,18,2015-09-18,3,5,0,1858
2015,9,38,19,2015-09-19,3,6,1,1872
2015,9,39,20,2015-09-20,3,7,1,1892
2015,9,39,21,2015-09-21,3,1,0,1905
2015,9,39,22,2015-09-22,3,2,0,1932
2015,9,39,23,2015-09-23,3,3,0,1943
2015,9,39,24,2015-09-24,3,4,0,1958
2015,9,39,25,2015-09-25,3,5,0,1970
2015,9,39,26,2015-09-26,3,6,1,1991
2015,9,40,27,2015-09-27,3,7,1,2009
2015,9,40,28,2015-09-28,3,1,0,2027
2015,9,40,29,2015-09-29,3,2,0,2046
2015,9,40,30,2015-09-30,3,3,0,2061
2015,10,40,1,2015-10-01,4,4,0,2088
2015,10,40,2,2015-10-02,4,5,0,2112
2015,10,40,3,2015-10-03,4,6,1,2133
2015,10,41,4,2015-10-04,4,7,1,2171
2015,10,41,5,2015-10-05,4,1,0,2200
2015,10,41,6,2015-10-06,4,2,0,2216
2015,10,41,7,2015-10-07,4,3,0,2235
2015,10,41,8,2015-10-08,4,4,0,2255
2015,10,41,9,2015-10-09,4,5,0,2287
2015,10,41,10,2015-10-10,4,6,1,2347
2015,10,42,11,2015-10-11,4,7,1,2386
2015,10,42,12,2015-10-12,4,1,0,2409
2015,10,42,13,2015-10-13,4,2,0,2423
2015,10,42,14,2015-10-14,4,3,0,2432
2015,10,42,15,2015-10-15,4,4,0,2440
2015,10,42,16,2015-10-16,4,5,0,2444
2015,10,42,17,2015-10-17,4,6,1,2456
2015,10,43,18,2015-10-18,4,7,1,2460
2015,10,43,19,2015-10-19,4,1,0,2475
2015,10,43,20,2015-10-20,4,2,0,2518
2015,10,43,21,2015-10-21,4,3,0,2531
2015,10,43,22,2015-10-22,4,4,0,2558
2015,10,43,23,2015-10-23,4,5,0,2590
2015,10,43,24,2015-10-24,4,6,1,2625
2015,10,44,25,2015-10-25,4,7,1,2686
2015,10,44,26,2015-10-26,4,1,0,2692
2015,10,44,27,2015-10-27,4,2,0,2704
2015,10,44,28,2015-10-28,4,3,0,2720
2015,10,44,29,2015-10-29,4,4,0,2730
2015,10,44,30,2015-10-30,4,5,0,2743
2015,10,44,31,2015-10-31,4,6,1,2767
2015,11,45,1,2015-11-01,4,7,1,2836
2015,11,45,2,2015-11-02,4,1,0,2845
2015,11,45,3,2015-11-03,4,2,0,2860
2015,11,45,4,2015-11-04,4,3,0,2886
2015,11,45,5,2015-11-05,4,4,0,2894
2015,11,45,6,2015-11-06,4,5,0,2902
2015,11,45,7,2015-11-07,4,6,1,2920
2015,11,46,8,2015-11-08,4,7,1,2959
2015,11,46,9,2015-11-09,4,1,0,2974
2015,11,46,10,2015-11-10,4,2,0,2991
2015,11,46,11,2015-11-11,4,3,0,2999
2015,11,46,12,2015-11-12,4,4,0,3035
2015,11,46,13,2015-11-13,4,5,0,3070
2015,11,46,14,2015-11-14,4,6,1,3080
2015,11,47,15,2015-11-15,4,7,1,3085
2015,11,47,16,2015-11-16,4,1,0,3090
2015,11,47,17,2015-11-17,4,2,0,3101
2015,11,47,18,2015-11-18,4,3,0,3105
2015,11,47,19,2015-11-19,4,4,0,3135
2015,11,47,20,2015-11-20,4,5,0,3144
2015,11,47,21,2015-11-21,4,6,1,3184
2015,11,48,23,2015-11-23,4,1,0,3234
2015,11,48,24,2015-11-24,4,2,0,3241
2015,11,48,25,2015-11-25,4,3,0,3244
2015,11,48,26,2015-11-26,4,4,0,3245
2015,11,48,27,2015-11-27,4,5,0,3256
2015,11,48,28,2015-11-28,4,6,1,3260
2015,11,49,29,2015-11-29,4,7,1,3267
2015,11,49,30,2015-11-30,4,1,0,3268
2015,12,49,1,2015-12-01,4,2,0,3272
2015,12,49,2,2015-12-02,4,3,0,3276
2015,12,49,3,2015-12-03,4,4,0,3282
2015,12,49,4,2015-12-04,4,5,0,3290
2015,12,49,5,2015-12-05,4,6,1,3304
2015,12,50,6,2015-12-06,4,7,1,3428
2015,12,50,7,2015-12-07,4,1,0,3443
2015,12,50,8,2015-12-08,4,2,0,3447
2015,12,50,10,2015-12-10,4,4,0,3448
2015,12,50,11,2015-12-11,4,5,0,3456
2015,12,50,12,2015-12-12,4,6,1,3458
2015,12,51,13,2015-12-13,4,7,1,3460
2015,12,51,14,2015-12-14,4,1,0,3461
2015,12,51,15,2015-12-15,4,2,0,3464
2015,12,51,17,2015-12-17,4,4,0,3465
2015,12,51,18,2015-12-18,4,5,0,3472
2015,12,51,19,2015-12-19,4,6,1,3476
2015,12,52,20,2015-12-20,4,7,1,3504
2015,12,52,21,2015-12-21,4,1,0,3514
2015,12,52,22,2015-12-22,4,2,0,3526
2015,12,52,23,2015-12-23,4,3,0,3554
2015,12,52,24,2015-12-24,4,4,0,3566
2015,12,52,25,2015-12-25,4,5,0,3589
2015,12,52,26,2015-12-26,4,6,1,3613
2015,12,53,27,2015-12-27,4,7,1,3623
2015,12,53,28,2015-12-28,4,1,0,3628
2015,12,53,29,2015-12-29,4,2,0,3645
2015,12,53,30,2015-12-30,4,3,0,3648
2015,12,53,31,2015-12-31,4,4,0,3711
2016,1,1,1,2016-01-01,1,5,0,3739
2016,1,1,2,2016-01-02,1,6,1,3746
2016,1,2,3,2016-01-03,1,7,1,3772
2016,1,2,4,2016-01-04,1,1,0,3774
2016,1,2,5,2016-01-05,1,2,0,3783
2016,1,2,6,2016-01-06,1,3,0,3786
2016,1,2,7,2016-01-07,1,4,0,3791
2016,1,2,8,2016-01-08,1,5,0,3795
2016,1,2,9,2016-01-09,1,6,1,3806
2016,1,3,10,2016-01-10,1,7,1,3814
2016,1,3,12,2016-01-12,1,2,0,3816
2016,1,3,13,2016-01-13,1,3,0,3822
2016,1,3,14,2016-01-14,1,4,0,3826
2016,1,3,15,2016-01-15,1,5,0,3827
2016,1,3,16,2016-01-16,1,6,1,3829
2016,1,4,17,2016-01-17,1,7,1,3831
2016,1,4,18,2016-01-18,1,1,0,3833
2016,1,4,19,2016-01-19,1,2,0,3835
2016,1,4,21,2016-01-21,1,4,0,3836
2016,1,4,22,2016-01-22,1,5,0,3839
2016,1,4,23,2016-01-23,1,6,1,3844
2016,1,5,25,2016-01-25,1,1,0,3846
2016,1,5,26,2016-01-26,1,2,0,3849
2016,1,5,27,2016-01-27,1,3,0,3853
2016,1,5,28,2016-01-28,1,4,0,3855
2016,1,5,29,2016-01-29,1,5,0,3860
2016,1,5,30,2016-01-30,1,6,1,3863
2016,1,6,31,2016-01-31,1,7,1,3864
2016,2,6,1,2016-02-01,1,1,0,3865
2016,2,6,2,2016-02-02,1,2,0,3872
2016,2,6,3,2016-02-03,1,3,0,3874
2016,2,6,4,2016-02-04,1,4,0,3881
2016,2,6,5,2016-02-05,1,5,0,3887
2016,2,6,6,2016-02-06,1,6,1,3895
2016,2,7,7,2016-02-07,1,7,1,3928
2016,2,7,8,2016-02-08,1,1,0,3929
2016,2,7,9,2016-02-09,1,2,0,3942
2016,2,7,10,2016-02-10,1,3,0,3962
2016,2,7,11,2016-02-11,1,4,0,3968
2016,2,7,12,2016-02-12,1,5,0,3988
2016,2,7,13,2016-02-13,1,6,1,4108
2016,2,8,14,2016-02-14,1,7,1,4117
2016,2,8,15,2016-02-15,1,1,0,4128
2016,2,8,16,2016-02-16,1,2,0,4138
2016,2,8,17,2016-02-17,1,3,0,4140
2016,2,8,18,2016-02-18,1,4,0,4144
2016,2,8,19,2016-02-19,1,5,0,4145
2016,2,8,20,2016-02-20,1,6,1,4155
2016,2,9,21,2016-02-21,1,7,1,4164
2016,2,9,22,2016-02-22,1,1,0,4168
2016,2,9,23,2016-02-23,1,2,0,4174
2016,2,9,24,2016-02-24,1,3,0,4176
2016,2,9,25,2016-02-25,1,4,0,4179
2016,2,9,26,2016-02-26,1,5,0,4184
2016,2,9,27,2016-02-27,1,6,1,4226
2016,2,10,28,2016-02-28,1,7,1,4267
2016,2,10,29,2016-02-29,1,1,0,4273
2016,3,10,1,2016-03-01,1,2,0,4276
2016,3,10,2,2016-03-02,1,3,0,4289
2016,3,10,3,2016-03-03,1,4,0,4312
2016,3,10,4,2016-03-04,1,5,0,4315
2016,3,10,5,2016-03-05,1,6,1,4339
2016,3,11,7,2016-03-07,1,1,0,4354
2016,3,11,8,2016-03-08,1,2,0,4367
2016,3,11,9,2016-03-09,1,3,0,4372
2016,3,11,10,2016-03-10,1,4,0,4381
2016,3,11,11,2016-03-11,1,5,0,4384
2016,3,11,12,2016-03-12,1,6,1,4398
2016,3,12,13,2016-03-13,1,7,1,4407
2016,3,12,14,2016-03-14,1,1,0,4412
2016,3,12,15,2016-03-15,1,2,0,4419
2016,3,12,16,2016-03-16,1,3,0,4424
2016,3,12,17,2016-03-17,1,4,0,4429
2016,3,12,18,2016-03-18,1,5,0,4438
2016,3,12,19,2016-03-19,1,6,1,4450
2016,3,13,20,2016-03-20,1,7,1,4483
2016,3,13,21,2016-03-21,1,1,0,4499
2016,3,13,22,2016-03-22,1,2,0,4513
2016,3,13,23,2016-03-23,1,3,0,4524
2016,3,13,24,2016-03-24,1,4,0,4530
2016,3,13,25,2016-03-25,1,5,0,4654
2016,3,13,26,2016-03-26,1,6,1,4666
2016,3,14,27,2016-03-27,1,7,1,4671
2016,3,14,28,2016-03-28,1,1,0,4684
2016,3,14,29,2016-03-29,1,2,0,4712
2016,3,14,30,2016-03-30,1,3,0,4718
2016,3,14,31,2016-03-31,1,4,0,4737
2016,4,14,1,2016-04-01,2,5,0,4804
2016,4,14,2,2016-04-02,2,6,1,4811
2016,4,15,3,2016-04-03,2,7,1,4818
2016,4,15,4,2016-04-04,2,1,0,4824
2016,4,15,5,2016-04-05,2,2,0,4883
2016,4,15,6,2016-04-06,2,3,0,4889
2016,4,15,7,2016-04-07,2,4,0,4890
2016,4,15,8,2016-04-08,2,5,0,4911
2016,4,15,9,2016-04-09,2,6,1,4919
2016,4,16,10,2016-04-10,2,7,1,4942
2016,4,16,11,2016-04-11,2,1,0,4968
2016,4,16,12,2016-04-12,2,2,0,5005
2016,4,16,13,2016-04-13,2,3,0,5035
2016,4,16,14,2016-04-14,2,4,0,5037
2016,4,16,15,2016-04-15,2,5,0,5040
2016,4,16,16,2016-04-16,2,6,1,5047
2016,4,17,17,2016-04-17,2,7,1,5095
2016,4,17,18,2016-04-18,2,1,0,5102
2016,4,17,19,2016-04-19,2,2,0,5160
2016,4,17,20,2016-04-20,2,3,0,5192
2016,4,17,21,2016-04-21,2,4,0,5194
2016,4,17,22,2016-04-22,2,5,0,5205
2016,4,17,23,2016-04-23,2,6,1,5258
2016,4,18,24,2016-04-24,2,7,1,5281
2016,4,18,25,2016-04-25,2,1,0,5313
2016,4,18,26,2016-04-26,2,2,0,5347
2016,4,18,27,2016-04-27,2,3,0,5373
2016,4,18,28,2016-04-28,2,4,0,5387
